incident_id,FacilityName,assigned_cell_id
353,Station 12,352
354,Station 04,430
355,Station 06,375
356,Station 40,534
357,Station 12,352
358,Station 15,432
359,Station 06,375
360,Station 09,296
361,Station 17,223
362,Station 15,432
363,Station 06,375
364,Station 20,220
365,Station 08,270
366,Station 34,47
367,Station 20,220
368,Station 10,345
369,Station 12,352
370,Station 24,228
371,Station 08,270
372,Station 11,250
373,Station 21,350
374,Station 28,435
375,Station 06,375
376,Station 21,350
377,Station 03,326
378,Station 12,352
379,Station 09,296
380,Station 20,220
381,Station 06,375
382,Station 09,296
383,Station 19,249
384,Station 19,249
385,Station 12,352
386,Station 09,296
387,Station 05,296
388,Station 15,432
389,Station 09,296
390,Station 24,228
391,Station 19,249
392,Station 08,270
393,Station 08,270
394,Station 20,220
395,Station 19,249
396,Station 37,80
397,Station 04,430
398,Station 28,435
399,Station 17,223
400,Station 03,326
401,Station 09,296
402,Station 07,149
403,Station 37,80
404,Station 06,375
405,Station 01,329
406,Station 09,296
407,Station 12,352
408,Station 33,501
409,Station 26,452
410,Station 11,250
411,Station 29,386
412,Station 12,352
413,Station 08,270
414,Station 15,432
415,Station 19,249
416,Station 04,430
417,Station 19,249
418,Station 19,249
419,Station 08,270
420,Station 28,435
421,Station 25,276
422,Station 06,375
423,Station 01,329
424,Station 24,228
425,Station 19,249
426,Station 06,375
427,Station 25,276
428,Station 23,177
429,Station 09,296
430,Station 26,452
431,Station 05,296
432,Station 25,276
433,Station 18,355
434,Station 28,435
435,Station 08,270
436,Station 09,296
437,Station 22,439
438,Station 29,386
439,Station 11,250
440,Station 09,296
441,Station 11,250
442,Station 24,228
443,Station 24,228
444,Station 23,177
445,Station 37,80
446,Station 10,345
447,Station 07,149
448,Station 06,375
449,Station 11,250
450,Station 12,352
451,Station 01,329
452,Station 11,250
453,Station 09,296
454,Station 21,350
455,Station 28,435
456,Station 01,329
457,Station 18,355
458,Station 19,249
459,Station 37,80
460,Station 19,249
461,Station 12,352
462,Station 01,329
463,Station 04,430
464,Station 09,296
465,Station 11,250
466,Station 24,228
467,Station 04,430
468,Station 12,352
469,Station 01,329
470,Station 08,270
471,Station 14,354
472,Station 12,352
473,Station 04,430
474,Station 28,435
475,Station 21,350
476,Station 12,352
477,Station 12,352
478,Station 23,177
479,Station 37,80
480,Station 09,296
481,Station 25,276
482,Station 09,296
483,Station 29,386
484,Station 08,270
485,Station 17,223
486,Station 34,47
487,Station 12,352
488,Station 12,352
489,Station 19,249
490,Station 09,296
491,Station 08,270
492,Station 04,430
493,Station 11,250
494,Station 22,439
495,Station 37,80
496,Station 19,249
497,Station 37,80
498,Station 11,250
499,Station 19,249
500,Station 08,270
501,Station 11,250
502,Station 05,296
503,Station 27,318
504,Station 12,352
505,Station 25,276
506,Station 12,352
507,Station 37,80
508,Station 37,80
509,Station 18,355
510,Station 11,250
511,Station 37,80
512,Station 28,435
513,Station 39,362
514,Station 25,276
515,Station 11,250
516,Station 11,250
517,Station 09,296
518,Station 33,501
519,Station 24,228
520,Station 37,80
521,Station 22,439
522,Station 33,501
523,Station 17,223
524,Station 20,220
525,Station 21,350
526,Station 04,430
527,Station 19,249
528,Station 05,296
529,Station 11,250
530,Station 10,345
531,Station 01,329
532,Station 06,375
533,Station 04,430
534,Station 27,318
535,Station 14,354
536,Station 28,435
537,Station 15,432
538,Station 24,228
539,Station 33,501
540,Station 20,220
