xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
464243407,,,N,0.090952012425702,4,DAVIDSON,TN,37206,America/Chicago,36.18259,-86.74779,36.18337,-86.74857
485354894,CREEK ST,,S,0.006281226994285,5,DAVIDSON,TN,37210,America/Chicago,36.13871,-86.75784,36.13864,-86.75777
1524483986,I-24 W,24,W,0.19906346988329,1,DAVIDSON,TN,37211,America/Chicago,36.10912,-86.72117,36.11166,-86.72285
1524482658,,,N,0.264107991372317,4,DAVIDSON,TN,37210,America/Chicago,36.12077,-86.75012,36.12369,-86.74771
449617570,CURREY RD,,E,0.687385711409755,4,DAVIDSON,TN,37217,America/Chicago,36.10523,-86.70401,36.10424,-86.69176
449617571,CURREY RD,,W,0.687385711409755,4,DAVIDSON,TN,37217,America/Chicago,36.10424,-86.69176,36.10523,-86.70401
1524373146,,,W,0.187238426042762,4,DAVIDSON,TN,37210,America/Chicago,36.13765,-86.72592,36.13987,-86.72776
156063981,CLARKSVILLE PIKE,41,E,0.365506988298748,4,DAVIDSON,TN,37080,America/Chicago,36.29194,-86.88377,36.28811,-86.87953
156063980,CLARKSVILLE PIKE,41,E,0.713296741268511,4,DAVIDSON,TN,37080,America/Chicago,36.28811,-86.87953,36.27941,-86.87347
449617574,E THOMPSON LN,,N,0.580939161533825,4,DAVIDSON,TN,37211,America/Chicago,36.11884,-86.71859,36.12549,-86.7134
160708812,BARTON AVE,,W,0.033829248312748,4,DAVIDSON,TN,37212,America/Chicago,36.13349,-86.80701,36.13356,-86.80761
464287860,ANTIOCH PIKE,,W,0.493551536969047,4,DAVIDSON,TN,37211,America/Chicago,36.10127,-86.7218,36.10091,-86.7306
1524305071,CONFERENCE DR,,N,0.248741257038291,4,DAVIDSON,TN,37072,America/Chicago,36.30274,-86.69183,36.30596,-86.69381
449617542,N 14TH ST,,S,0.476575120045027,4,DAVIDSON,TN,37206,America/Chicago,36.18998,-86.74216,36.18347,-86.74498
449618874,MURPHY RD,,E,0.657002509806499,4,DAVIDSON,TN,37209,America/Chicago,36.14104,-86.84096,36.14035,-86.82923
449617543,N 14TH ST,,N,0.476575120045027,4,DAVIDSON,TN,37206,America/Chicago,36.18347,-86.74498,36.18998,-86.74216
449618873,MURPHY RD,,W,0.657002509806499,4,DAVIDSON,TN,37209,America/Chicago,36.14035,-86.82923,36.14104,-86.84096
